DATE,CPALTT01USM659N
1998-06-01,1.684341859
1998-07-01,1.682242991
1998-08-01,1.616915423
1998-09-01,1.488833747
1998-10-01,1.485148515
1998-11-01,1.547987616
1998-12-01,1.611903286
1999-01-01,1.670792079
1999-02-01,1.605929586
1999-03-01,1.726263872
1999-04-01,2.276923077
1999-05-01,2.088452088
1999-06-01,1.963190184
1999-07-01,2.144607843
1999-08-01,2.264381885
1999-09-01,2.628361858
1999-10-01,2.56097561
1999-11-01,2.62195122
1999-12-01,2.684563758
2000-01-01,2.73889227
2000-02-01,3.221884498
2000-03-01,3.757575758
2000-04-01,3.068592058
2000-05-01,3.188929001
2000-06-01,3.730445247
2000-07-01,3.659268146
2000-08-01,3.411131059
2000-09-01,3.454437165
2000-10-01,3.448275862
2000-11-01,3.446226976
2000-12-01,3.386809269
2001-01-01,3.732227488
2001-02-01,3.533568905
2001-03-01,2.920560748
2001-04-01,3.269118506
2001-05-01,3.61516035
2001-06-01,3.248259861
2001-07-01,2.719907407
2001-08-01,2.719907407
2001-09-01,2.648244099
2001-10-01,2.126436782
2001-11-01,1.895462378
2001-12-01,1.551724138
2002-01-01,1.142204455
2002-02-01,1.137656428
2002-03-01,1.475595914
2002-04-01,1.639344262
2002-05-01,1.181767023
2002-06-01,1.06741573
2002-07-01,1.464788732
2002-08-01,1.802816901
2002-09-01,1.514301739
2002-10-01,2.025886325
2002-11-01,2.198421646
2002-12-01,2.376910017
2003-01-01,2.597402597
2003-02-01,2.98087739
2003-03-01,3.020134228
2003-04-01,2.224694105
2003-05-01,2.057842047
2003-06-01,2.112284603
2003-07-01,2.109938923
2003-08-01,2.158273381
2003-09-01,2.320441989
2003-10-01,2.040816327
2003-11-01,1.765030336
2003-12-01,1.879491432
2004-01-01,1.926252064
2004-02-01,1.6930639
2004-03-01,1.737242128
2004-04-01,2.285092492
2004-05-01,3.051771117
2004-06-01,3.266194883
2004-07-01,2.990755846
2004-08-01,2.654387866
2004-09-01,2.537796976
2004-10-01,3.189189189
2004-11-01,3.52303523
2004-12-01,3.255561584
2005-01-01,2.969762419
2005-02-01,3.007518797
2005-03-01,3.148345784
2005-04-01,3.510638298
2005-05-01,2.802749868
2005-06-01,2.530311017
2005-07-01,3.167898627
2005-08-01,3.64116095
2005-09-01,4.686677199
2005-10-01,4.347826087
2005-11-01,3.455497382
2005-12-01,3.415659485
2006-01-01,3.985317252
2006-02-01,3.597497393
2006-03-01,3.362648733
2006-04-01,3.545734841
2006-05-01,4.166666667
2006-06-01,4.318766067
2006-07-01,4.145342886
2006-08-01,3.818737271
2006-09-01,2.062374245
2006-10-01,1.305220884
2006-11-01,1.973684211
2006-12-01,2.540650407
2007-01-01,2.075642965
2007-02-01,2.415198792
2007-03-01,2.778778779
2007-04-01,2.57369727
2007-05-01,2.690864198
2007-06-01,2.68703795
2007-07-01,2.358230958
2007-08-01,1.970083374
2007-09-01,2.75505175
2007-10-01,3.53617443
2007-11-01,4.306203474
2007-12-01,4.081268583
2008-01-01,4.280294048
2008-02-01,4.026555413
2008-03-01,3.981456231
2008-04-01,3.936889775
2008-05-01,4.175543042
2008-06-01,5.021790048
2008-07-01,5.6001229
2008-08-01,5.371855115
2008-09-01,4.936927431
2008-10-01,3.655186277
2008-11-01,1.069574692
2008-12-01,0.091412901
2009-01-01,0.029846504
2009-02-01,0.236191088
2009-03-01,-0.383556255
2009-04-01,-0.736885715
2009-05-01,-1.281435799
2009-06-01,-1.426776044
2009-07-01,-2.097161354
2009-08-01,-1.484348612
2009-09-01,-1.286205967
2009-10-01,-0.182848277
2009-11-01,1.838295869
2009-12-01,2.721331126
2010-01-01,2.625708643
2010-02-01,2.143331778
2010-03-01,2.313959447
2010-04-01,2.236447196
2010-05-01,2.020986084
2010-06-01,1.053348973
2010-07-01,1.235192778
2010-08-01,1.148104562
2010-09-01,1.143682658
2010-10-01,1.172187606
2010-11-01,1.143160912
2010-12-01,1.495723527
2011-01-01,1.631846857
2011-02-01,2.107584629
2011-03-01,2.681603264
2011-04-01,3.163630859
2011-05-01,3.568645785
2011-06-01,3.558828252
2011-07-01,3.628715982
2011-08-01,3.771208179
2011-09-01,3.868356841
2011-10-01,3.525199921
2011-11-01,3.394377591
2011-12-01,2.962418845
2012-01-01,2.925216712
2012-02-01,2.87109878
2012-03-01,2.651398193
2012-04-01,2.302739811
2012-05-01,1.704253775
2012-06-01,1.663993762
2012-07-01,1.408450704
2012-08-01,1.692378998
2012-09-01,1.991282081
2012-10-01,2.162343599
2012-11-01,1.764133846
2012-12-01,1.741022369
2013-01-01,1.594864668
2013-02-01,1.97792351
2013-03-01,1.473896213
2013-04-01,1.063085381
2013-05-01,1.361965059
2013-06-01,1.754416545
2013-07-01,1.960681612
2013-08-01,1.51836756
2013-09-01,1.184925262
2013-10-01,0.963612705
2013-11-01,1.237072205
2013-12-01,1.50173562
2014-01-01,1.578947368
2014-02-01,1.12634925
2014-03-01,1.512202876
2014-04-01,1.952857899
2014-05-01,2.12711155
2014-06-01,2.072341373
2014-07-01,1.992328636
2014-08-01,1.699611334
2014-09-01,1.657918676
2014-10-01,1.664340216
2014-11-01,1.322355182
2014-12-01,0.75649327
2015-01-01,-0.089348313
2015-02-01,-0.025129802
2015-03-01,-0.073637391
2015-04-01,-0.199517446
2015-05-01,-0.039932745
2015-06-01,0.123771204
2015-07-01,0.16956978
2015-08-01,0.195079293
2015-09-01,-0.036129748
2015-10-01,0.170574436
2015-11-01,0.501797579
2015-12-01,0.729519786
2016-01-01,1.373086814
2016-02-01,1.01779978
2016-03-01,0.852536221
2016-04-01,1.125110419
2016-05-01,1.019322554
2016-06-01,0.997326495
2016-07-01,0.82713887
2016-08-01,1.062874503
2016-09-01,1.463783647
2016-10-01,1.635987521
2016-11-01,1.692537163
2016-12-01,2.074622133
2017-01-01,2.500042209
2017-02-01,2.737958171
2017-03-01,2.380612433
2017-04-01,2.199689878
2017-05-01,1.874877721
2017-06-01,1.633487955
2017-07-01,1.727978456
2017-08-01,1.938974212
2017-09-01,2.232963865
2017-10-01,2.041128702
2017-11-01,2.202582939
2017-12-01,2.109082475
2018-01-01,2.07050762
2018-02-01,2.211795421
2018-03-01,2.359711404
2018-04-01,2.462743943
2018-05-01,2.801011715
2018-06-01,2.871547835
2018-07-01,2.949515087
2018-08-01,2.699180104
2018-09-01,2.276972194
2018-10-01,2.522469929
2018-11-01,2.176601032
2018-12-01,1.910158849
2019-01-01,1.551235138
2019-02-01,1.520135266
2019-03-01,1.862522741
2019-04-01,1.996439776
2019-05-01,1.790228469
2019-06-01,1.648484656
2019-07-01,1.811464806
2019-08-01,1.749779889
2019-09-01,1.711304513
2019-10-01,1.764042944
2019-11-01,2.051277982
2019-12-01,2.28512974
2020-01-01,2.486571955
2020-02-01,2.334873564
2020-03-01,1.539326992
2020-04-01,0.329096686
2020-05-01,0.11792637
2020-06-01,0.645733048
2020-07-01,0.986081825
2020-08-01,1.309645382
2020-09-01,1.371324861
2020-10-01,1.182066168
2020-11-01,1.174535784
2020-12-01,1.362005495
2021-01-01,1.399769742
2021-02-01,1.676215217
2021-03-01,2.619762509
2021-04-01,4.159694839
2021-05-01,4.992706538
2021-06-01,5.391451413
2021-07-01,5.365475239
2021-08-01,5.251271555
2021-09-01,5.390348855
2021-10-01,6.221868903
2021-11-01,6.80900284
2021-12-01,7.036402866
2022-01-01,7.479872468
2022-02-01,7.871063898
2022-03-01,8.542455555
2022-04-01,8.258629341
2022-05-01,8.581511544
2022-06-01,9.059757965
